,Title,Artist,Release Year,Genius_Link
959,Eve of Destruction,Barry McGuire,1965,https://genius.com/Barry-mcguire-eve-of-destruction-lyrics
960,Hang On Sloopy,The McCoys,1965,https://genius.com/The-mccoys-hang-on-sloopy-lyrics
961,Ticket to Ride,The Beatles,1965,https://genius.com/The-beatles-ticket-to-ride-lyrics
962,Red Roses for a Blue Lady,Bert Kaempfert,1965,https://genius.com/Bert-kaempfert-red-roses-for-a-blue-lady-lyrics
963,Papa's Got a Brand New Bag,James Brown,1965,https://genius.com/Howard-shore-figaro-papas-got-a-brand-new-bag-lyrics
964,Game of Love,Wayne Fontana & The Mindbenders,1965,https://genius.com/The-mindbenders-the-game-of-love-lyrics
965,The Name Game,Shirley Ellis,1965,https://genius.com/Shirley-ellis-the-name-game-lyrics
966,I Know a Place,Petula Clark,1965,https://genius.com/Petula-clark-i-know-a-place-lyrics
967,Back in My Arms Again,The Supremes,1965,https://genius.com/The-supremes-back-in-my-arms-again-lyrics
968,Baby I'm Yours,Barbara Lewis,1965,https://genius.com/Barbara-lewis-baby-im-yours-lyrics
969,The Jolly Green Giant,The Kingsmen,1965,https://genius.com/The-kingsmen-jolly-green-giant-lyrics
970,"Hush, Hush, Sweet Charlotte",Patti Page,1965,https://genius.com/Patti-page-hush-hush-sweet-charlotte-lyrics
971,Like a Rolling Stone,Bob Dylan,1965,https://genius.com/Bob-dylan-like-a-rolling-stone-lyrics
972,I'm Telling You Now,Freddie and the Dreamers,1965,https://genius.com/Freddie-and-the-dreamers-im-telling-you-now-lyrics
973,Ferry Cross the Mersey,Gerry and the Pacemakers,1965,https://genius.com/Gerry-and-the-pacemakers-ferry-cross-the-mersey-lyrics
974,Just Once in My Life,The Righteous Brothers,1965,https://genius.com/The-righteous-brothers-just-once-in-my-life-lyrics
975,The Seventh Son,Johnny Rivers,1965,https://genius.com/Johnny-rivers-seventh-son-lyrics
976,"I'm Henry the Eighth, I Am",Herman's Hermits,1965,https://genius.com/Hermans-hermits-im-henery-the-eighth-i-am-1997-remastered-version-lyrics
977,A Walk in the Black Forest,Horst Jankowski,1965,https://genius.com/Horst-jankowski-a-walk-in-the-black-forest-lyrics
978,For Your Love,The Yardbirds,1965,https://genius.com/The-yardbirds-for-your-love-lyrics
979,California Girls,The Beach Boys,1965,https://genius.com/The-beach-boys-california-girls-lyrics
980,Go Now,The Moody Blues,1965,https://genius.com/The-moody-blues-go-now-lyrics
981,Goldfinger,Shirley Bassey,1965,https://genius.com/Shirley-bassey-goldfinger-lyrics
982,Down in the Boondocks,Billy Joe Royal,1965,https://genius.com/Billy-joe-royal-down-in-the-boondocks-lyrics
983,Baby the Rain Must Fall,Glenn Yarbrough,1965,https://genius.com/Glenn-yarbrough-baby-the-rain-must-fall-lyrics
984,Catch Us If You Can,The Dave Clark Five,1965,https://genius.com/The-dave-clark-five-catch-us-if-you-can-lyrics
985,Eight Days a Week,The Beatles,1965,https://genius.com/The-beatles-eight-days-a-week-lyrics
986,Just a Little,The Beau Brummels,1965,https://genius.com/The-beau-brummels-just-a-little-lyrics
