,Year,anger_lyrics,disgust_lyrics,fear_lyrics,negative_lyrics,sadness_lyrics,positive_lyrics,joy_lyrics,trust_lyrics,anticipation_lyrics,surprise_lyrics,positive_stateofunion,trust_stateofunion,anticipation_stateofunion,joy_stateofunion,surprise_stateofunion,negative_stateofunion,disgust_stateofunion,fear_stateofunion,anger_stateofunion,sadness_stateofunion
13,1964,1.4983782771095202,1.148655971418776,1.799950105731404,2.859502480171106,2.244090541867006,6.454238371352263,5.557130827492007,2.4451984142736007,2.7617742757157933,1.4547149129786243,7.545426547582383,4.742839544194641,3.2337542346781643,2.340622112719433,1.1703110563597166,3.7573144441022484,1.5706806282722512,2.4946104096088697,1.7554665845395752,2.094240837696335
14,1965,1.6033422742769108,1.145272137592578,1.8596206008806726,3.065184085201663,1.9862546881991747,6.300106026591173,4.864193391946007,2.0530970457868665,2.571733894970365,1.5251466023462006,9.392512889486662,6.186953597848016,3.586639766868415,3.496973772696705,1.1432414256893073,3.609056265411343,1.1432414256893073,2.264066352835687,1.3674064111185833,1.6364043936337145
15,1966,1.6299323372723695,1.3819825498390756,1.6196175210320372,3.5707197024309445,2.0774562111799475,5.811057472272765,4.5283519733910875,2.8244844909876115,3.4188816192073768,2.1261125543407187,7.623638635957865,5.427602213890377,2.9101946081056953,2.481699696482771,1.0355293697554007,4.284949116229245,0.96411355115158,3.30298161042671,2.2674522406713087,1.5890019639350117
16,1967,1.2645478951510705,1.179852400789887,1.6883535686897433,2.7069495472914116,1.7266985125683445,6.257082910970576,5.081108265474222,2.3206689170768304,2.516165601536904,1.2636420803632753,7.4303832368348495,5.36255858836504,3.2395919492693688,2.522746071133168,0.9374138406396471,3.529087400055142,0.8822718500137855,2.1643231320650673,1.5026192445547284,1.3234077750206783
17,1968,1.62838420586961,1.205376665418553,1.9659987103661611,3.017684552508536,2.010105958211501,6.383677384840187,4.939622036419672,2.622806156837506,2.980133629380899,1.6561819904483013,7.430402563589025,5.908271580212297,2.7838974564390147,2.323252553575005,0.8211496094532346,3.4448227518525933,1.2817945123172443,2.303224514320048,1.2617664730622873,1.1415982375325457
18,1969,1.4036134749355385,1.038825466239148,1.7216366641980854,3.02702810774339,2.033330519809309,7.281718874145126,5.625284540673379,2.93585647805834,3.0046189392044513,1.5088234424155627,6.777217015140591,6.00817111271329,2.883922134102379,2.114876231675078,1.1055034847392453,2.8598894496515257,1.4179283826003364,1.4900264359528959,1.201634222542658,0.9853400624849795
19,1970,1.421076573574433,1.4325630412757757,2.068612578658963,3.125390299759236,2.426497678147405,5.648815726852229,4.218808452264016,2.195205391104737,2.993790198728141,1.2164619106068446,7.352287872056864,4.353620613060862,2.643269657929809,2.3989338071968014,0.8218569524655708,3.4207019102621055,1.2661039537983119,1.9324744557974234,1.310528653931586,1.0661928031985786
20,1971,1.6206171444232003,1.3808570283220531,1.7777080612079283,3.299966522574169,2.1850071417163948,5.845482846657519,4.478717260146964,3.071997119000933,2.828392704016474,1.7280674354301981,6.963971880492091,5.557996485061512,2.877855887521968,2.218804920913884,1.3400702987697715,3.3611599297012305,1.2961335676625658,2.8339191564147628,1.054481546572935,1.1862917398945518
21,1972,1.7052556337296376,1.4704927283924314,2.1771202147836783,3.492612431652865,2.6974527771488575,6.266152841738317,4.640072470966456,2.81461866990524,2.8346991845143177,1.7685877327936277,7.468259895444361,5.003734129947722,2.9375155588747823,2.364948966890714,0.8712969878018421,2.8628329599203384,1.0206621857107294,2.1160069703759024,1.2696041822255415,0.9210853871048046
22,1974,1.4136257272573258,0.8849437355492596,1.6822104457852651,2.776539205220774,1.986212488081638,6.716928446481366,5.27859049362631,3.0086329076795333,2.9020552847296925,1.721934055707271,7.022579410639112,5.2047455032529655,3.0424799081515497,2.200535782625335,0.8419441255262151,1.894374282433984,0.7271335629544585,1.5690776884806734,0.8802143130501339,0.5357826253348641
